trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.3083021581541995, 'e': 0.9713379748520296}",35,0,-187.46576219925265,"{0: 23, 1: 0, 2: 9, 3: 0, 4: 3}",0
41,False,"{'a': 0.30219736640035577, 'e': 0.9698942836196508}",20,0,-142.02874250289312,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
42,False,"{'a': 0.2962134576224242, 'e': 0.9684156762978101}",25,0,-195.85174275647722,"{0: 13, 1: 0, 2: 7, 3: 3, 4: 2}",0
43,False,"{'a': 0.29034803817710697, 'e': 0.9669022061162116}",20,0,-46.29358163543471,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
44,False,"{'a': 0.28459876181841937, 'e': 0.965353927559618}",25,0,-296.9942346448554,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 5}",0
45,False,"{'a': 0.27896332875915986, 'e': 0.9637708963658905}",20,0,-123.73945481634185,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
46,False,"{'a': 0.27343948475096475, 'e': 0.9621531695239809}",20,0,-178.9784708763396,"{0: 10, 1: 0, 2: 5, 3: 3, 4: 2}",0
47,False,"{'a': 0.2680250201825784, 'e': 0.960500805271881}",20,15,-13.247260131456683,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.26271776919597967, 'e': 0.9588138630945251}",20,0,-81.55639466757066,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.2575156088200096, 'e': 0.9570924037216496}",30,0,-241.89331965236912,"{0: 18, 1: 0, 2: 6, 3: 2, 4: 4}",0
50,False,"{'a': 0.2524164581211548, 'e': 0.955336489125606}",30,21,4.066862078426453,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.2474182773711461, 'e': 0.9535461825191301}",20,8,-87.44593689859099,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
52,False,"{'a': 0.24251906723104016, 'e': 0.9517215483530664}",20,0,-84.94292773255788,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
53,False,"{'a': 0.23771686795145736, 'e': 0.9498626523140478}",25,0,-172.70322872874854,"{0: 15, 1: 0, 2: 5, 3: 3, 4: 2}",0
54,False,"{'a': 0.23300975858865566, 'e': 0.9479695613221308}",20,0,-116.10290149383866,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
55,False,"{'a': 0.2283958562361276, 'e': 0.946042343528387}",25,0,-97.74867658975762,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
