trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.0986008946447315, 'e': 0.5486898605815875}",20,6,22.461543999730026,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.0986008946447315, 'e': 0.5436638584190042}",25,0,-12.390089303076874,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
167,False,"{'a': 0.0986008946447315, 'e': 0.5386182844162335}",30,0,-39.25936360443429,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
168,False,"{'a': 0.0986008946447315, 'e': 0.5335533202133944}",20,0,-86.17367813622195,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
169,False,"{'a': 0.0986008946447315, 'e': 0.5284691481486513}",25,0,-157.6881278010884,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
170,False,"{'a': 0.0986008946447315, 'e': 0.5233659512516495}",30,0,-218.65261429818443,"{0: 18, 1: 0, 2: 6, 3: 3, 4: 3}",0
171,False,"{'a': 0.0986008946447315, 'e': 0.5182439132369261}",25,0,-114.47601394084168,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
172,False,"{'a': 0.0986008946447315, 'e': 0.5131032184972965}",25,14,-6.446026925246657,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.0986008946447315, 'e': 0.507944052097216}",20,0,-34.78752194171494,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
174,False,"{'a': 0.0986008946447315, 'e': 0.5027665997661179}",25,4,-58.09766953863414,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 1}",1
175,False,"{'a': 0.0986008946447315, 'e': 0.49757104789172696}",25,6,-43.80028722699737,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
176,False,"{'a': 0.0986008946447315, 'e': 0.4923575835133495}",25,19,-31.409471670176174,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.0986008946447315, 'e': 0.48712639431514015}",35,8,-87.68128319936834,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 2}",1
178,False,"{'a': 0.0986008946447315, 'e': 0.481877668619345}",35,18,-62.93549742221551,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
179,False,"{'a': 0.0986008946447315, 'e': 0.47661159537952236}",25,15,-17.775191960692425,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
180,False,"{'a': 0.0986008946447315, 'e': 0.47132836417373997}",20,0,-109.02940417654527,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
181,False,"{'a': 0.0986008946447315, 'e': 0.46602816519775075}",30,14,-33.183535695061565,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.0986008946447315, 'e': 0.46071118925814536}",30,18,-63.88980931911729,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
183,False,"{'a': 0.0986008946447315, 'e': 0.45537762776548346}",35,20,-34.11346644854544,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 0}",1
184,False,"{'a': 0.0986008946447315, 'e': 0.45002767272740274}",25,0,-13.119711559076372,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",1
185,False,"{'a': 0.0986008946447315, 'e': 0.4446615167417068}",20,8,14.317237654456443,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.0986008946447315, 'e': 0.43927935298943144}",25,9,-1.7673774461342853,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
187,False,"{'a': 0.0986008946447315, 'e': 0.43388137522789066}",25,0,-101.85022338598574,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
188,False,"{'a': 0.0986008946447315, 'e': 0.42846777778370077}",25,0,-36.426266860554435,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
189,False,"{'a': 0.0986008946447315, 'e': 0.42303875554578513}",20,0,-77.44958318022208,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
190,False,"{'a': 0.0986008946447315, 'e': 0.41759450395835795}",25,4,-34.60828881098593,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 0}",1
191,False,"{'a': 0.0986008946447315, 'e': 0.4121352190138885}",30,0,-106.27786931827853,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
192,False,"{'a': 0.0986008946447315, 'e': 0.40666109724604504}",25,0,-142.1018744899775,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
193,False,"{'a': 0.0986008946447315, 'e': 0.4011723357226203}",25,20,9.173932463253852,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.0986008946447315, 'e': 0.39566913203843584}",25,0,-54.15098681380471,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
195,False,"{'a': 0.0986008946447315, 'e': 0.3901516843082303}",25,0,-94.30525433551234,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
196,False,"{'a': 0.0986008946447315, 'e': 0.38462019115952595}",30,16,-39.42937794020247,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
197,False,"{'a': 0.0986008946447315, 'e': 0.3790748517254788}",20,16,9.066203468785057,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.0986008946447315, 'e': 0.37351586563770955}",20,14,10.909375301004193,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.0986008946447315, 'e': 0.367943433019117}",25,9,3.129068713669321,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
200,False,"{'a': 0.0986008946447315, 'e': 0.3623577544766736}",25,5,-23.14577348881341,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
201,False,"{'a': 0.0986008946447315, 'e': 0.35675903109420365}",25,0,-18.32561414513291,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
202,False,"{'a': 0.0986008946447315, 'e': 0.3511474644251443}",25,7,14.419697442361965,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.0986008946447315, 'e': 0.3455232564852894}",30,0,-28.579076029035992,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
204,False,"{'a': 0.0986008946447315, 'e': 0.3398866097455176}",20,0,-20.42950625713778,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
205,False,"{'a': 0.0986008946447315, 'e': 0.3342377271245026}",30,18,-3.573981927590685,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
206,False,"{'a': 0.0986008946447315, 'e': 0.3285768119814088}",20,8,-3.0734230145002543,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
207,False,"{'a': 0.0986008946447315, 'e': 0.3229040681085699}",25,12,-20.274391923179255,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
208,False,"{'a': 0.0986008946447315, 'e': 0.3172196997241527}",30,3,-53.04718213770481,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 2}",1
209,False,"{'a': 0.0986008946447315, 'e': 0.3115239114648051}",20,15,-31.058330006367285,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
210,False,"{'a': 0.0986008946447315, 'e': 0.30581690837828934}",25,15,-15.730504856746728,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
211,False,"{'a': 0.0986008946447315, 'e': 0.3000988959161001}",20,10,-8.586023116006313,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
212,False,"{'a': 0.0986008946447315, 'e': 0.29437007992606856}",30,22,12.267323262325032,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.0986008946447315, 'e': 0.2886306666449516}",30,0,-23.105593418001007,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
214,False,"{'a': 0.0986008946447315, 'e': 0.2828808626910075}",20,10,18.136683422723813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.0986008946447315, 'e': 0.2771208750565576}",25,20,7.62485473552735,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.0986008946447315, 'e': 0.2713509111005347}",25,10,-28.496205664551155,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
217,False,"{'a': 0.0986008946447315, 'e': 0.265571178541018}",20,16,7.685991165255279,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.0986008946447315, 'e': 0.25978188544775555}",25,1,-41.84502295467619,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 1}",1
219,False,"{'a': 0.0986008946447315, 'e': 0.2539832402346734}",20,8,-24.43130324657486,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
220,False,"{'a': 0.0986008946447315, 'e': 0.2481754516523729}",30,8,-71.78448073433778,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 2}",1
221,False,"{'a': 0.0986008946447315, 'e': 0.24235872878061585}",35,22,17.591933064862754,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.0986008946447315, 'e': 0.2365332810207974}",20,9,17.61801756838381,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.0986008946447315, 'e': 0.2306993180884078}",20,0,14.398849289012306,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
224,False,"{'a': 0.0986008946447315, 'e': 0.22485705000548248}",30,12,-14.795004022243399,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
225,False,"{'a': 0.0986008946447315, 'e': 0.2190066870930415}",25,20,7.234504164143205,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.0986008946447315, 'e': 0.21314843996351787}",25,0,-53.19752925143001,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
227,False,"{'a': 0.0986008946447315, 'e': 0.20728251951317556}",25,5,30.77803770551662,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.0986008946447315, 'e': 0.20140913691451723}",25,18,11.046420177492593,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.0986008946447315, 'e': 0.19552850360868218}",25,0,-34.710444948360816,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
230,False,"{'a': 0.0986008946447315, 'e': 0.18964083129783424}",20,14,12.048941600873682,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.0986008946447315, 'e': 0.18374633193754078}",25,3,-10.014855814876594,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
232,False,"{'a': 0.0986008946447315, 'e': 0.17784521772914216}",25,14,8.009489077891965,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.0986008946447315, 'e': 0.17193770111211254}",20,11,13.069368730435867,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.0986008946447315, 'e': 0.1660239947564121}",30,0,13.269948937229026,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
235,False,"{'a': 0.0986008946447315, 'e': 0.16010431155483126}",25,6,21.88276415955445,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.0986008946447315, 'e': 0.15417886461532546}",20,1,-6.709334561719327,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
237,False,"{'a': 0.0986008946447315, 'e': 0.14824786725334482}",20,7,-19.733649165314596,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
238,False,"{'a': 0.0986008946447315, 'e': 0.1423115329841538}",20,7,7.282925012896331,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.0986008946447315, 'e': 0.13637007551514496}",30,11,24.558838516425677,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.0986008946447315, 'e': 0.13042370873814554}",30,4,16.160549327670733,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
241,False,"{'a': 0.0986008946447315, 'e': 0.12447264672171729}",20,0,27.2346196553237,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
242,False,"{'a': 0.0986008946447315, 'e': 0.11851710370345009}",20,0,-59.58368732088284,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
243,False,"{'a': 0.0986008946447315, 'e': 0.1125572940822494}",20,14,9.983108721192496,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.0986008946447315, 'e': 0.10659343241061792}",20,7,20.983418233673678,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.0986008946447315, 'e': 0.10062573338693173}",25,16,15.002823742121564,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.0986008946447315, 'e': 0.09465441184771117}",20,14,9.778110411405166,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.0986008946447315, 'e': 0.08867968275988677}",20,0,30.202029175431974,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
248,False,"{'a': 0.0986008946447315, 'e': 0.0827017612130604}",25,19,0.3256200138878187,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.0986008946447315, 'e': 0.07672086241176215}",25,20,8.52049773651144,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.0986008946447315, 'e': 0.0707372016677029}",20,16,6.110026612139983,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.0986008946447315, 'e': 0.06475099439202324}",25,15,4.074497255344607,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.0986008946447315, 'e': 0.058762456087538564}",35,7,39.02574034223292,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.0986008946447315, 'e': 0.05277180234098107}",20,10,17.13076286712787,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.0986008946447315, 'e': 0.04677924881523865}",20,5,18.515809455022207,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.0986008946447315, 'e': 0.040785011241591035}",20,1,21.449974338322388,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.0986008946447315, 'e': 0.03478930541194349}",20,10,15.318480422071698,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.0986008946447315, 'e': 0.028792347171058365}",20,10,15.680798457210088,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.0986008946447315, 'e': 0.02279435240878465}",25,16,16.16770784890116,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.0986008946447315, 'e': 0.016795537052286005}",20,4,20.31810984389951,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.0986008946447315, 'e': 0.010796117058267392}",20,13,-29.542311592178113,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
261,False,"{'a': 0.0986008946447315, 'e': 0.004796308405200662}",20,7,18.545113148703308,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,20,9.743864237486585,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,13,18.602692244286917,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,12,22.15664312330984,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,8,24.90661066886231,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,22,14.340081610790412,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,10,22.366018177233823,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,9,21.99272207003479,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,8,16.971661664875757,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,24,17.36732548206583,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,18,17.767115931909277,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",30,0,30.851135043348442,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",20,7,19.29651379961047,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,12,-11.738662423921427,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,True,"{'a': 0, 'e': 0}",20,13,11.56642906467588,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,18,18.025236522935145,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,16,9.485981619381455,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,13,12.380834783973485,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,1,22.952018054152134,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,0,27.76446404029962,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",20,14,12.88081646642131,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,3,24.499043720265632,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,19,11.836719492093467,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,12,12.4575741589662,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,3,29.686946418021847,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",25,19,8.332417310787402,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",25,18,10.349444190107135,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",20,16,7.741728751812137,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",25,16,11.496614342295853,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",25,10,21.799438654921477,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",20,15,10.37920594321759,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",25,19,11.597966201511966,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",20,0,24.227586788655085,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,True,"{'a': 0, 'e': 0}",25,0,32.37716194342237,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,True,"{'a': 0, 'e': 0}",20,0,24.23310434103351,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,True,"{'a': 0, 'e': 0}",25,0,-11.184005183777977,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
36,True,"{'a': 0, 'e': 0}",25,12,24.618097549681014,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",25,11,18.944326288239548,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",25,14,19.610700409329766,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",25,2,29.940382677390097,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",35,18,25.78170752946018,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",20,7,21.21375251880117,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",25,13,15.85171887844557,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",20,16,7.000144865260872,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",20,14,10.103102527813451,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",25,2,25.666346514629097,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",25,20,8.001848126694187,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",35,16,28.107354845932022,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",20,12,12.611547668358892,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",30,20,14.55577147036876,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",30,20,15.478187124306805,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'a': 0, 'e': 0}",25,13,19.889958956097296,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,True,"{'a': 0, 'e': 0}",20,1,28.42922675929047,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'a': 0, 'e': 0}",30,22,14.277442408149078,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,True,"{'a': 0, 'e': 0}",20,2,25.193285899212416,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,True,"{'a': 0, 'e': 0}",25,20,9.453074640625951,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,True,"{'a': 0, 'e': 0}",20,12,12.11216618688118,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0, 'e': 0}",25,2,26.88306744347965,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'a': 0, 'e': 0}",20,12,17.649872644042162,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'a': 0, 'e': 0}",25,2,28.915098665316215,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,True,"{'a': 0, 'e': 0}",25,14,19.999189348656625,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'a': 0, 'e': 0}",20,12,12.768719103608117,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'a': 0, 'e': 0}",20,3,21.841460323564466,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,True,"{'a': 0, 'e': 0}",20,16,8.762134890692156,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0, 'e': 0}",25,19,11.021723879257902,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0, 'e': 0}",25,16,15.133808709261341,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'a': 0, 'e': 0}",20,16,8.665329489761866,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0, 'e': 0}",25,7,33.91365686186911,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0, 'e': 0}",25,0,24.731897702582305,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'a': 0, 'e': 0}",25,3,29.796021556744165,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0, 'e': 0}",25,14,15.886311319313021,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0, 'e': 0}",20,14,12.920384495997313,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0, 'e': 0}",25,0,36.13784792167903,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,True,"{'a': 0, 'e': 0}",20,0,27.03654725838949,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,True,"{'a': 0, 'e': 0}",20,14,10.996448220338397,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0, 'e': 0}",25,14,15.674625861324017,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0, 'e': 0}",20,0,30.579509768866252,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,True,"{'a': 0, 'e': 0}",30,11,32.00496484455297,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0, 'e': 0}",20,7,20.794539872005856,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0, 'e': 0}",20,7,19.18525610419755,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0, 'e': 0}",30,20,19.98074470254211,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0, 'e': 0}",20,1,31.67170335220838,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0, 'e': 0}",20,10,20.7950258737238,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0, 'e': 0}",20,11,15.367616824527108,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0, 'e': 0}",30,0,37.095193737311725,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,True,"{'a': 0, 'e': 0}",20,0,-9.086979963709307,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
86,True,"{'a': 0, 'e': 0}",25,13,15.788538085942708,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0, 'e': 0}",20,6,22.313716450903804,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0, 'e': 0}",25,18,11.30355225101964,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0, 'e': 0}",30,17,20.683652281954185,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,True,"{'a': 0, 'e': 0}",30,22,15.002052755991738,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,True,"{'a': 0, 'e': 0}",25,10,21.042507645471712,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0, 'e': 0}",20,13,0.9148645573214531,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,True,"{'a': 0, 'e': 0}",20,0,21.39094090653467,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
